sample,fastq_1,fastq_2,antibody,control
CEBPA_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235732.fastq.gz,,CEBPA,input_DNA_cfa3
CEBPA_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235736.fastq.gz,,CEBPA,input_DNA_cfa3
CEBPA_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235740.fastq.gz,,CEBPA,input_DNA_cfa3
CEBPA_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235726.fastq.gz,,CEBPA,input_DNA_cfa4
CEBPA_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235746.fastq.gz,,CEBPA,input_DNA_cfa4
CEBPA_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235775.fastq.gz,,CEBPA,input_DNA_cfa4
FOXA1_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235725.fastq.gz,,FOXA1,input_DNA_cfa3
FOXA1_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235737.fastq.gz,,FOXA1,input_DNA_cfa4
FOXA1_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235738.fastq.gz,,FOXA1,input_DNA_cfa4
HNF4A_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235743.fastq.gz,,HNF4A,input_DNA_cfa3
HNF4A_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235758.fastq.gz,,HNF4A,input_DNA_cfa3
HNF4A_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235774.fastq.gz,,HNF4A,input_DNA_cfa3
HNF4A_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235772.fastq.gz,,HNF4A,input_DNA_cfa4
HNF4A_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235790.fastq.gz,,HNF4A,input_DNA_cfa4
HNF6_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235724.fastq.gz,,HNF6,input_DNA_cfa3
HNF6_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235731.fastq.gz,,HNF6,input_DNA_cfa3
HNF6_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235745.fastq.gz,,HNF6,input_DNA_cfa3
input_DNA_cfa3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235777.fastq.gz,,,
input_DNA_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235751.fastq.gz,,,
input_DNA_cfa4,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/dog/ERR235742.fastq.gz,,,
