sample,fastq_1,fastq_2,antibody,control
HNF6_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235768.fastq.gz,,HNF6,input_DNA_hsa1294
HNF6_hsaHH1328,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235749.fastq.gz,,HNF6,input_DNA_hsaHH1328
HNF4A_hsa1308,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235728.fastq.gz,,HNF4A,input_DNA_hsa1308
HNF4A_hsa1308,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235756.fastq.gz,,HNF4A,input_DNA_hsa1308
HNF4A_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235754.fastq.gz,,HNF4A,input_DNA_hsa1294
FOXA1_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235778.fastq.gz,,FOXA1,input_DNA_hsa1294
FOXA1_hsaCRI3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235764.fastq.gz,,FOXA1,input_DNA_hsaCRI3
CEBPA_hsa1323,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235729.fastq.gz,,CEBPA,input_DNA_hsa1323
CEBPA_hsa1323,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235748.fastq.gz,,CEBPA,input_DNA_hsa1323
CEBPA_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235723.fastq.gz,,CEBPA,input_DNA_hsa1294
CEBPA_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235766.fastq.gz,,CEBPA,input_DNA_hsa1294
input_DNA_hsaHH1328,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235765.fastq.gz,,,
input_DNA_hsa1308,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235735.fastq.gz,,,
input_DNA_hsa1323,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235761.fastq.gz,,,
input_DNA_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235771.fastq.gz,,,
input_DNA_hsa1294,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235759.fastq.gz,,,
input_DNA_hsaCRI3,/work/FAC/FBM/DEE/mrobinso/evolseq/DetectPosSel/data/ChIP-seq/human/ERR235788.fastq.gz,,,
