Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
ADD1,DNA replication,ADD1-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,7083,ENCSR957HDY,ENCODE bams
ADD1,DNA replication,CG8290,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,11006,ENCSR245QIG,ENCODE bams
ADD1,DNA replication,CG8290,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,1846,ENCSR856SZD,ENCODE bams
ATbp,TF,ATbp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4292,ENCSR025MAQ,ENCODE bams
Abd-B,TF,Abd-B-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,5190,ENCSR465HPZ,ENCODE bams
Abd-B,TF,Abd-B-GFP,wanderingthirdinstarlarva,,ab290,,site-specific recombination,17/06/2017,238,ENCSR692UBK,ENCODE bams
Ada2b,chromatin factor,Ada2b-GFP,embryonic,,ab290,,site-specific recombination,16/04/2021,4990,ENCSR992BYJ,E0-24
Adf1,TF,Adf1-GFP,embryonic,,ab290,,site-specific recombination,04/03/2021,5607,ENCSR229TGN,E6-18
Aef1,TF,Aef1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/02/2021,4971,ENCSR676IZR,E0-24
Antp,TF,AntP-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4068,ENCSR082RBU,ENCODE bams
Asciz,TF,CG14962-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4119,ENCSR829XOQ,ENCODE bams
Atf-2,TF,Atf-2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2980,ENCSR963YPQ,ENCODE bams
Atf3,TF,A3-3-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2519,ENCSR120TCW,ENCODE bams
Atf6,TF,Atf6-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/03/2021,5846,ENCSR696YTM,E0-24
Awh,TF,Awh-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,5814,ENCSR728JEY,E0-24
B-H1,TF,B-H1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,3467,ENCSR779XKY,E8-24
B-H2,TF,B-H2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3862,ENCSR795MVJ,ENCODE bams
BEAF-32,chromatin factor,BEAF-32-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,10203,ENCSR533CXT,ENCODE bams
Bdp1,TF,CG9305-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3339,ENCSR504AYW,ENCODE bams
Bgb,TF co-regulator,Bgb-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,6393,ENCSR867JOP,0-24
Blimp-1,TF,Blimp-1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,12832,ENCSR378UYF,ENCODE bams
Blimp-1,TF,Blimp-1-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,6497,ENCSR492FKR,ENCODE bams
BtbVII,TF,BtbVII-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/12/2016,3131,ENCSR393QBI,ENCODE bams
BuGZ,TF,CG17912-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,1390,ENCSR796MDV,ENCODE bams
C15,TF,C15-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,08/02/2021,2265,ENCSR417AYH,E0-24
CG10147,TF,CG10147-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,4261,ENCSR599WVE,ENCODE bams
