ID,Nmut,SumObs,MeanObs,VarObs,MedSVM,MinSVM,MaxSVM,AlphaPurif,AlphaPos,BetaPos,NiterPurif,NiterPos,Nbins,LL_neutral,LL_purif,LL_pos,LRT_null_purif,LRT_purif_pos,p_value_null_purif,p_value_purif_pos,p_value_null_pos,Conclusion
X:5763874:5764338:tx_tx-GFP_embryonic_1,27,4.206352699999999,0.1557908407407407,1.1905639363292926,-0.32874165,-5.1418296,5.2480288,1.2035156250000005,1.7125181650948367,0.7755129184731192,13,41,1386,-191.06268613360157,-190.98142989431184,-188.90141903970445,0.16251247857945827,4.160021709214789,0.6868537948334554,0.041388873525417556,0.11517908582071515,Neutral model
3L:1300174:1300638:tx_tx-GFP_embryonic_1,18,10.6684303,0.5926905722222222,1.226471063818452,-0.1675033,-4.752303,5.9093126,0.7415039062499998,2.0505424877017866,0.4443773901253446,14,44,1383,-126.93871257051892,-126.84630556066594,-123.46936914587624,0.18481401970595357,6.753872829579393,0.6672683772628591,0.009354442080883952,0.031137468045193285,Neutral model
2L:6684352:6684571:tx_tx-GFP_embryonic_1,21,6.330004499999999,0.30142878571428566,1.694693775647977,-0.2619505,-3.8882737,5.467071,1.5517578125000016,2.70392647092442,1.3691966967734812,15,47,597,-134.4082357489975,-133.83178230771682,-131.32519984673363,1.1529068825613535,5.013164921966393,0.2829414630821996,0.02515527797259751,0.04581994041996807,Neutral model
2R:15679127:15679382:tx_tx-GFP_embryonic_1,36,-8.9492188,-0.24858941111111113,1.4174911399061592,-0.3751387,-4.294908,3.103802,0.9592773437499998,1.0349166852162335,0.6876792151055483,11,31,765,-236.23285691618034,-236.22700667875915,-235.83071960331674,0.011700474842371023,0.7925741508848319,0.9138618466893901,0.3733228920658581,0.6688888923349299,Neutral model
X:8681357:8681821:tx_tx-GFP_embryonic_1,10,0.9882547999999997,0.09882547999999997,1.2338418593189298,-0.3557891,-3.9771274,3.5542575,1.01650390625,1.139021339406814,0.15051585611126475,10,37,927,-66.03691238182024,-66.03669070259352,-65.28641593433038,0.00044335845345244707,1.5005495365262789,0.9832009211777597,0.22058682611229355,0.4721321057517349,Neutral model
3R:20021314:20021778:tx_tx-GFP_embryonic_1,32,7.294121800000001,0.22794130625000003,1.4183431280976975,-0.2934714,-3.9686591,4.525291,1.008203125,1.6152836628344627,0.6634325482042169,10,36,1242,-224.8117124797736,-224.8115410671705,-222.2171802289812,0.00034282520618944545,5.188721676378634,0.9852275808932044,0.0227339324988359,0.07468079979095275,Neutral model
2R:16031324:16031788:tx_tx-GFP_embryonic_1,29,11.354887100000001,0.39154783103448276,1.5344731704009402,-0.1610526,-4.9150113,2.9110393,0.15624999999999925,1.1973166133211413,3.3430924984659673e-09,17,76,1389,-209.88732833420357,-208.33258721748368,-204.37037662676008,3.109482233439792,7.924421181447201,0.07783770104581457,0.004877194527684027,0.004018077568824953,Directional (+)
2L:6455860:6456324:tx_tx-GFP_embryonic_1,30,6.7681963,0.22560654333333333,0.9656041806276005,-0.218041,-4.3909556,3.9682927,1.2878906250000006,2.1447677222774906,1.008677461782892,13,42,1389,-216.35449144057196,-216.1706592026497,-213.0768295477902,0.3676644758445491,6.187659309718981,0.5442800892731368,0.012864423114489825,0.03771633863828247,Neutral model
X:755989:756216:tx_tx-GFP_embryonic_1,14,-5.7742762999999995,-0.41244830714285713,3.991669401560478,-0.33442700000000003,-9.0926247,3.0966533,0.26171874999999933,0.4404458800012431,0.09419509537070675,16,40,672,-90.67439612925327,-89.90906434574987,-89.76395353481782,1.5306635670067976,0.2902216218641058,0.21601288248355618,0.5900785447859407,0.40234610847133023,Neutral model
2R:18151476:18151940:tx_tx-GFP_embryonic_1,5,-6.7139632,-1.34279264,0.48060030340768634,-0.1913899,-2.6213453,3.6923928,9.765624999911191e-05,1.0653214734585877e-09,7.476942573364204,28,114,600,-31.3339569263289,-29.42529143777497,-26.510672244814128,3.817330977107858,5.829238385921684,0.05072497913623739,0.015761945933765353,0.008040333781711291,Directional (-)
3L:4230386:4230649:tx_tx-GFP_embryonic_1,33,7.032580599999999,0.21310850303030301,0.8041879224378633,-0.0708181,-10.7135291,3.2860633,1.432910156250001,2.3639316365288825,1.2847642456667474,14,42,786,-216.37952166261286,-215.85809578445117,-213.11043571965732,1.0428517563233868,5.495320129587697,0.3071591551419671,0.01906743648416171,0.03804118299960597,Neutral model
2L:18703116:18703580:tx_tx-GFP_embryonic_1,28,-1.1888686999999996,-0.04245959642857141,1.0827393660934337,-0.2044059,-4.5118494,5.0915818,1.5310546875000013,1.7025284381566208,1.33217823493083,15,39,1008,-190.95608294557454,-190.37894396440498,-190.0334207843131,1.1542779623391084,0.6910463601837478,0.28265540960941526,0.40580870272634517,0.3974595300517497,Neutral model
3R:11454570:11455034:tx_tx-GFP_embryonic_1,26,3.0049508000000005,0.11557503076923079,0.8726413889016575,-0.1551927,-6.0958349,3.8064839,1.3653320312500008,1.988315442827739,1.1468580793962357,14,42,1365,-186.89482668267118,-186.62715600104647,-185.11507249940823,0.5353413632494153,3.0241670032764887,0.46436985531999064,0.082032436369695,0.16867960644316968,Neutral model
2R:24606975:24607147:tx_tx-GFP_embryonic_1,12,1.2175813,0.10146510833333333,1.826100973345094,-0.33320859999999997,-7.1092972,2.8739168,1.2332031250000006,1.7676502077792753,0.7463860231375975,13,40,516,-74.79805451652605,-74.75005555077928,-73.6454240490347,0.09599793149354241,2.2092630034891556,0.7566861835725834,0.13718419500851423,0.3158049611525169,Neutral model
2R:13566128:13566592:tx_tx-GFP_embryonic_1,20,7.942631800000002,0.3971315900000001,1.942748501900781,-0.15687385,-4.9538417,3.9924692,0.2276367187499993,0.8739950377964237,1.7206704152117947e-08,16,69,1392,-145.66841733840982,-144.75582131890704,-143.10012426657272,1.8251920390055716,3.3113941046686364,0.17669649506183072,0.06880110227931172,0.07666629766245066,Neutral model
2L:7188698:7188814:tx_tx-GFP_embryonic_1,5,0.1085891,0.02171782,0.9764678618001656,-0.5866368,-2.940292,2.0992098,0.000195312499999112,1.419533417655546,3.411091328991747e-08,26,72,348,-29.338793741692967,-28.925258468467415,-27.74661935011268,0.8270705464511039,2.357278236709469,0.36312098111485913,0.12469958829260037,0.20348267932981373,Neutral model
X:15867824:15868142:tx_tx-GFP_embryonic_1,18,8.808302000000001,0.48935011111111115,1.7906110361286427,-0.1573058,-4.4716261,4.8216908,0.27871093749999937,1.105428713338328,4.1214921391215766e-08,16,69,951,-122.41486425521393,-121.52278469262856,-119.34826790817702,1.7841591251707314,4.3490335689030815,0.1816394380847241,0.03702995371259691,0.04657942555518147,Neutral model
2R:23427585:23428049:tx_tx-GFP_embryonic_1,37,-3.5025402999999997,-0.09466325135135134,1.3313893204551512,-0.1438058,-7.9631287,4.9984507,0.9625976562499999,1.0240362360982997,0.8583228136187475,11,31,1371,-264.32080316362203,-264.3169113016667,-264.2199343579957,0.0077837239106202105,0.1939538873419906,0.9296975175620437,0.6596460047999951,0.904051631593547,Neutral model
2R:14770355:14770482:tx_tx-GFP_embryonic_1,5,2.2857898,0.45715796,1.0599204296802545,-0.40072505,-4.2505297,3.96485,0.000195312499999112,1.9413091897396106,3.506467846054222e-10,26,94,276,-28.436468080146113,-27.809985867209264,-25.92418896342503,1.2529644258736994,3.7715938075684647,0.2629870424098196,0.05212993799829823,0.08108323034646113,Neutral model
3L:11123054:11123518:tx_tx-GFP_embryonic_1,32,-0.9133509000000002,-0.028542215625000006,1.208787575362618,-0.21468995000000002,-6.6349838,4.1009223,0.9610351562499999,1.2736454196303377,0.6085710659055614,11,33,1272,-224.10269140166247,-224.09924609618443,-222.7841156219525,0.006890610956077126,2.6302609484638424,0.9338438235802552,0.10484448084658982,0.26751603254084494,Neutral model
2R:23067061:23067525:tx_tx-GFP_embryonic_1,2,1.0864519000000001,0.5432259500000001,0.26722453398752255,0.01062285,-3.243906,3.973706,2.317480468750003,10.548962129564902,4.462628311653099,17,60,522,-12.04497190311099,-11.873026363736468,-11.07676634054718,0.3438910787490457,1.5925200463785742,0.5575917823661476,0.2069664586981851,0.37976388958839735,Neutral model
X:2141679:2142143:tx_tx-GFP_embryonic_1,35,-4.5359164000000005,-0.12959761142857143,1.506126943053225,-0.207558,-4.9302629,3.2069891,0.8724609374999999,0.9207672136173612,0.7110066422632373,12,34,1383,-247.6053871948018,-247.55435740577613,-247.409105665327,0.10205957805135313,0.2905034808982805,0.7493719203067818,0.5898980684305646,0.821780846578278,Neutral model
3L:4625761:4626225:tx_tx-GFP_embryonic_1,11,2.0068644,0.1824422181818182,1.0472569498157378,-0.35594915000000005,-3.8331061,4.4247176,1.2898437500000008,2.229957393073654,0.9999653164884097,13,44,1302,-78.4026771017737,-78.3275928017922,-76.99252334238221,0.15016859996299559,2.670138918819987,0.6983742902031638,0.10224709849507851,0.2441057467166465,Neutral model
3L:5247847:5248311:tx_tx-GFP_embryonic_1,9,0.5299851999999997,0.05888724444444441,1.2634653545072958,-0.31673385,-4.3587121,4.0965753,0.9806640625,1.3115303276637131,0.5264593922772909,10,36,1356,-64.16796688663729,-64.16769301085166,-63.65266178621768,0.0005477515712470904,1.030062449267973,0.9813279401239194,0.31014400058625385,0.5973183247428238,Neutral model
2R:9588789:9589019:tx_tx-GFP_embryonic_1,19,-0.5807310000000008,-0.03056478947368425,1.3160097617042517,-0.4478883,-5.7864917,5.4306378,1.6000976562500018,2.1919574297356186,1.2800534953221647,15,41,687,-122.30395507960465,-121.86873193425235,-120.6247850027977,0.8704462907045922,2.487893862909317,0.35083178614814226,0.11472515835079296,0.1865287163271002,Neutral model
3R:29251384:29251848:tx_tx-GFP_embryonic_1,31,9.073216200000001,0.2926843935483871,1.0220899726553214,-0.179194,-4.8098026,4.8177629,0.8501953124999999,1.5092888909896276,0.45246603484413117,13,33,1389,-220.12333586599556,-220.0672227498465,-216.97160989130165,0.1122262322980987,6.191225717089708,0.7376236987898668,0.01283852340077864,0.04277822897178139,Neutral model
3R:12121251:12121469:tx_tx-GFP_embryonic_1,24,6.204499,0.2585207916666667,1.2065167281027114,-0.2866315,-3.3692999,2.9315886,0.5443359374999996,1.4810633154171255,0.24379520045538328,15,35,654,-153.3141523238219,-152.89633966639897,-149.85539727389875,0.8356253148458563,6.0818847850004545,0.3606509378104118,0.0136574981109231,0.03146891486962336,Neutral model
3L:21171981:21172178:tx_tx-GFP_embryonic_1,6,-1.0720336,-0.17867226666666666,0.7363999622599423,-0.3310793,-5.1573063,3.0623605,1.4703125000000012,1.7799550669689235,1.2764079767297165,15,38,591,-37.819374029615574,-37.721064863991934,-37.584954303693145,0.19661833124727934,0.2722211205975782,0.657464390265013,0.6018457026036295,0.7910297305247267,Neutral model
2L:520640:521104:tx_tx-GFP_embryonic_1,22,8.9295689,0.40588949545454545,2.3366611420249295,-0.1517651,-7.2698868,4.0755647,0.000195312499999112,0.7280618690669403,1.1252894077945892e-08,26,84,1371,-157.39187858548394,-154.99369024224833,-153.90656015197803,4.796376686471206,2.174260180540614,0.028519655848788576,0.14033698875473702,0.030643998799418752,Neutral model
3L:2766693:2767157:tx_tx-GFP_embryonic_1,4,2.6846683000000007,0.6711670750000002,1.279197500740017,-0.0765436,-3.6788753,3.7145022,0.8174804687499998,3.2666372777285306,0.8751261131727166,13,48,642,-24.896199172920532,-24.881611485558736,-23.859983104150388,0.029175374723592995,2.0432567628166964,0.8643747341511689,0.1528820235015077,0.35479466376885554,Neutral model
3L:21276221:21276685:tx_tx-GFP_embryonic_1,37,-2.4331506999999997,-0.06576082972972971,2.7232195016508576,-0.2172613,-5.9688669,4.7365122,0.5110351562499995,0.6581416446954531,0.21681348519310764,15,37,1389,-264.4730973877963,-263.66631029345837,-263.02152620235046,1.6135741886758979,1.2895681822158167,0.20399010824970032,0.2561275444195192,0.23420202405242393,Neutral model
2R:23064136:23064600:tx_tx-GFP_embryonic_1,56,7.159842199999998,0.12785432499999996,1.6171910091120576,-0.11096065,-6.231176,5.2527675,0.9416015624999998,1.2911978229327792,0.7068143058219821,11,37,1392,-407.79731411420835,-407.7796673071915,-405.8727599516363,0.03529361403366238,3.813814711110467,0.8509817377684111,0.05083155795272328,0.145940808228553,Neutral model
3L:2581151:2581615:tx_tx-GFP_embryonic_1,22,-5.314022899999999,-0.24154649545454543,2.305042176498973,-0.1272573,-8.511825,5.5779076,1.1889648437500004,1.234871634263572,1.1200106095393945,12,29,1383,-156.2880378509054,-156.22021155710272,-156.1913338939806,0.1356525876053638,0.05775532624420521,0.712641761364547,0.810079572592893,0.9078247215779693,Neutral model
3R:11214404:11214868:tx_tx-GFP_embryonic_1,37,2.289130599999999,0.06186839459459457,1.3015805414853179,-0.17304695,-4.3296777,4.0313134,1.107421875,1.3285547927520176,0.9115258353330307,11,36,1392,-265.9852392187233,-265.9481819002659,-265.2974406640152,0.07411463691471454,1.3014824725014478,0.7854374600650073,0.2539426104330802,0.5026814776436604,Neutral model
2L:9388113:9388294:tx_tx-GFP_embryonic_1,4,-2.2585661999999997,-0.5646415499999999,1.1126580069788476,-0.5235862,-4.0952559,2.2862009,0.9150390625,0.9067441222225631,0.9398562995645292,12,26,540,-24.63717914565017,-24.63551540272999,-24.635157018957933,0.0033274858403586904,0.0007167675441124288,0.9540000487432165,0.9786411754383288,0.9979799164285624,Neutral model
3R:25996382:25996846:tx_tx-GFP_embryonic_1,18,0.7770173000000004,0.0431676277777778,1.7779674945225454,-0.28888955,-7.2522643,5.4393338,1.0373046875,1.5835679932618936,0.8641438602551037,10,37,1194,-123.18796674307515,-123.18514792614313,-122.30384734326975,0.005637633864040481,1.7626011657467586,0.940147735999604,0.18430040005983786,0.4130777695283214,Neutral model
3L:10554516:10554980:tx_tx-GFP_embryonic_1,42,-5.3926832,-0.12839721904761903,1.040331380496789,-0.09576555,-7.7685876,3.7935964,1.2539062500000007,1.315779465494983,1.2010566204393167,13,30,1392,-300.66885099604525,-300.4612438065328,-300.4078482862069,0.41521437902486014,0.1067910406518422,0.5193346872418954,0.7438274912228949,0.77027883228113,Neutral model
2R:23592972:23593436:tx_tx-GFP_embryonic_1,19,-0.6327094000000002,-0.033300494736842115,1.0930796795131006,-0.17567955,-5.8857568,5.564124,1.3061523437500009,1.4544231935014744,1.1538631678773885,14,40,1368,-136.2107830675073,-136.0789265482785,-135.91726553606534,0.2637130384575812,0.32332202442631797,0.6075806463325231,0.5696180362055892,0.7456361506726223,Neutral model
2R:9308592:9309056:tx_tx-GFP_embryonic_1,33,11.496200199999999,0.348369703030303,0.9346483558262719,-0.1233648,-3.3622869,4.177827,1.2126953125000006,2.0635721436252767,0.9636064133183295,13,43,1389,-240.23096783150984,-240.12422861219562,-236.99784688948617,0.2134784386284423,6.252763445418907,0.6440545938368321,0.012399970769694593,0.03943423457835743,Neutral model
3L:10752651:10753115:tx_tx-GFP_embryonic_1,35,-10.4547301,-0.2987065742857143,2.5299710216397377,-0.20208575,-5.8325468,6.0825619,0.000195312499999112,2.840324860542055e-08,0.03209959387710237,26,84,1386,-250.4512708118951,-247.87896814448692,-247.87593478005158,5.14460533481639,0.006066728870678162,0.023318710389812328,0.9379161833442045,0.07612823698820742,Neutral model
X:1889909:1890373:tx_tx-GFP_embryonic_1,35,-6.427148099999999,-0.18363280285714284,1.904257987877529,-0.385468,-6.0298908,4.8446225,0.7406249999999999,0.9269621383482038,0.5171409141503183,14,36,1392,-248.26831335736935,-248.08733884136282,-247.53014877128822,0.36194903201305806,1.1143801401491942,0.5474257805718301,0.29113178137922524,0.4779904211717453,Neutral model
3R:31592447:31592911:tx_tx-GFP_embryonic_1,28,-0.6194029999999999,-0.02212153571428571,0.6580847712994172,-0.0424408,-7.7286431,4.2019005,2.192871093750003,2.252408590076709,2.140235511995353,17,40,1392,-196.92837807491966,-194.78640625223807,-194.76182354251245,4.283943645363195,0.04916541945124209,0.03847398322405814,0.8245219214948224,0.11457169068408576,Neutral model
2R:21497143:21497539:tx_tx-GFP_embryonic_1,27,0.980289999999999,0.036307037037037,1.3144456625364578,-0.11245174999999999,-5.0358178,5.0140865,1.0906250000000002,1.3210032495914008,0.8440676735170649,11,33,1188,-190.26918302513994,-190.25054945484902,-189.66024868016962,0.037267140581832336,1.180601549358812,0.8469221670046411,0.2772335660937214,0.5439302022908615,Neutral model
3L:1442980:1443174:tx_tx-GFP_embryonic_1,15,-3.0284187000000005,-0.20189458000000002,1.6001566265475506,-0.4404069,-4.606649,3.5608472,1.0195312499999998,1.3915389064244061,0.6269401468541773,10,30,579,-94.52084028094002,-94.52040480499782,-93.70280430472785,0.0008709518843943442,1.6352010005399507,0.976456333075332,0.20098518365420096,0.44129752276695955,Neutral model
3L:1323077:1323541:tx_tx-GFP_embryonic_1,32,7.656997,0.23928115625,1.3873185605200011,-0.1488594,-4.4338322,6.9626758,0.7853515624999998,1.2870094999205288,0.5063850535039007,13,32,1386,-230.00362201359044,-229.87182585978522,-228.0186573109888,0.2635923076104518,3.7063370975928365,0.6076628631718789,0.054206224046235485,0.13738546338079982,Neutral model
3R:29026977:29027441:tx_tx-GFP_embryonic_1,29,9.439925599999999,0.32551467586206895,2.6425064502391225,-0.1237508,-6.0756385,5.3448746,0.48183593749999953,0.9323516230220816,0.2650785026534964,15,41,1383,-206.88187216021225,-205.99628612190835,-204.7837490304748,1.7711720766077974,2.4250741828670925,0.18323709182804826,0.11940758896212045,0.12268647890170717,Neutral model
3R:21214535:21214999:tx_tx-GFP_embryonic_1,27,1.5757034999999997,0.05835938888888888,0.8023009596756587,-0.1741866,-5.0053852,3.9945735,1.8340820312500017,2.189032058995074,1.6084058856227776,16,42,1206,-188.73884168138846,-187.57217246045002,-186.8556956502982,2.33333844187689,1.4329536203036355,0.12663004247626367,0.2312830103288617,0.15211080688001244,Neutral model
3L:20540483:20540947:tx_tx-GFP_embryonic_1,44,-8.2697467,-0.18794878863636366,1.0122594797486313,-0.29358605,-4.2460762,4.9854494,1.7840820312500019,1.8190882196207268,1.7254446822707097,16,34,1344,-316.4160936421475,-314.6232665368531,-314.592216772727,3.5856542105887,0.06209952825224718,0.058280464778689166,0.8032078048084842,0.16139881431570174,Neutral model
2R:17420906:17421330:tx_tx-GFP_embryonic_1,31,-4.8564079,-0.1566583193548387,0.8813582675766879,-0.2742731,-4.7312783,3.9019473,1.5509765625000016,1.7196441363963006,1.4146726167733261,15,37,1263,-217.25584173650807,-216.54300322340157,-216.288505121722,1.425677026213009,0.5089962033591178,0.23247124778410647,0.47557371510722535,0.3800940279920665,Neutral model
3L:14784879:14785250:tx_tx-GFP_embryonic_1,35,6.8693762,0.19626789142857143,1.2103058821534358,-0.201639,-4.0979412,4.3715658,1.0823242187500002,1.511601601847381,0.7597803529709641,11,38,1101,-242.0386366330604,-242.02176842897134,-240.2363100254722,0.03373640817812884,3.570916806998298,0.8542686304413419,0.05879983911288331,0.1649147496171048,Neutral model
3R:19891988:19892452:tx_tx-GFP_embryonic_1,15,0.5524902000000002,0.03683268000000001,0.5793437345149484,-0.2490239,-7.5142317,4.1450015,2.468164062500003,3.095130892484864,2.1562908286979434,18,45,1203,-104.93599094162187,-103.35974056304292,-102.56092156596316,3.1525007571578954,1.597637994159527,0.07581069641255044,0.20623826282524724,0.0930080364930382,Neutral model
X:655005:655260:tx_tx-GFP_embryonic_1,9,6.8188596,0.7576510666666666,0.3045645861599645,-0.2936504,-4.8862453,3.4509225,1.3693359375000007,102.8440190828554,19.42026743499742,14,200,759,-61.200290464650365,-61.107300418772,-52.88442673251808,0.1859800917567327,16.44574737250784,0.6662836268180623,5.006235859679909e-05,0.0002446055286532835,Directional (+)
3R:31252524:31252988:tx_tx-GFP_embryonic_1,13,-5.5690010999999995,-0.42838469999999995,1.4630172587981154,-0.32774855,-5.5523743,3.3195269,1.361718750000001,1.3495195755098215,1.3950556448645033,14,33,1392,-92.79410284689706,-92.66389652601052,-92.6615282535047,0.26041264177308676,0.004736545011638782,0.609836806053544,0.9451308589523215,0.8758375999717454,Neutral model
3R:10415869:10416333:tx_tx-GFP_embryonic_1,43,7.5429848,0.1754182511627907,1.34027650642099,-0.16908385,-4.6767407,4.1514413,0.9971679687499999,1.4308601513310837,0.6834863793250541,10,39,1374,-306.20152818968046,-306.20150208246685,-303.9764341592903,5.221442722813663e-05,4.450135846353078,0.9942345721551084,0.03489847052696324,0.10805725749102787,Neutral model
2R:12958064:12958365:tx_tx-GFP_embryonic_1,12,2.868457400000001,0.23903811666666674,0.7132620899696263,-0.2488727,-4.2505322,5.3611477,1.8822265625000019,3.422400151538869,1.7332311553464734,16,51,891,-82.43043201556547,-81.86509886497198,-79.97562969324254,1.1306663011869773,3.77893834345889,0.2876332602738104,0.05190158198466281,0.08588017035591274,Neutral model
X:9579129:9579474:tx_tx-GFP_embryonic_1,19,-4.0043091,-0.21075311052631582,1.5468579898130193,-0.28015595,-4.9514871,3.5573809,0.8287109374999997,0.9738742509000727,0.6401405206727993,13,34,1020,-129.00519507034417,-128.95842227233624,-128.75415517104813,0.09354559601587198,0.4085342025762202,0.7597171472199037,0.5227144253159659,0.7779913296333036,Neutral model
3R:14476246:14476710:tx_tx-GFP_embryonic_1,18,3.3726045000000004,0.1873669166666667,2.340226310642239,-0.1750315,-9.1840949,5.0903969,9.765624999911191e-05,0.5147819458021766,1.714789060634585e-06,28,53,1245,-126.8714987016887,-124.22058228931095,-123.84454749315104,5.301832824755479,0.7520695923198275,0.021302997098006513,0.38582177563461506,0.04846316720951425,Neutral model
3L:700134:700598:tx_tx-GFP_embryonic_1,30,13.3346782,0.4444892733333334,0.550296487190852,-0.01263305,-3.6499151,3.832841,1.2038085937500007,2.6132069826494915,0.9991007257184161,13,44,1374,-213.54606324784766,-213.44816307864954,-208.49150259386386,0.19580033839622502,9.913320969571373,0.6581322629706847,0.0016408676361574237,0.006380169248598531,Directional (+)
3L:1342016:1342480:tx_tx-GFP_embryonic_1,36,9.4433979,0.26231660833333337,1.2923989437795524,-0.1741655,-5.2242977,4.4208588,1.0494140625000001,1.5764347122624378,0.7738513116142638,10,36,1359,-254.5744047151843,-254.56737582516809,-252.42600134730628,0.014057780032430855,4.282748955723605,0.9056195920167839,0.038501032568786855,0.11667028867324593,Neutral model
2R:8927885:8928349:tx_tx-GFP_embryonic_1,12,-3.22877,-0.26906416666666666,0.7563517957023006,-0.2786344,-6.7451524,4.2104184,1.7094726562500018,1.708608988731585,1.7135052958203754,16,38,1392,-84.59109615086511,-84.1758595822728,-84.17583892748048,0.8304731371846117,4.130958464543255e-05,0.3621357521394504,0.9948718291515997,0.6601704475864345,Neutral model
3R:9401273:9401737:tx_tx-GFP_embryonic_1,15,2.3958793999999997,0.15972529333333332,1.28290303756801,-0.1442059,-3.8082188,3.9363505,0.6382812499999997,0.9969574531681437,0.3522996689028105,14,39,732,-99.86075919944847,-99.72982147606808,-99.17031426062495,0.2618754467607687,1.119014430886267,0.6088346156578834,0.29013077145727556,0.5013529480412647,Neutral model
3R:8892939:8893403:tx_tx-GFP_embryonic_1,27,13.9506808,0.5166918814814815,0.7648004072747214,-0.041459800000000005,-4.7688726,4.0902332,1.429003906250001,2.9599583074310107,1.2999094093209544,14,71,1380,-194.32949275579097,-193.97800520746895,-189.574876048181,0.7029750966440247,8.806258318575885,0.4017858207836883,0.003001990332486107,0.008611844915381401,Directional (+)
2R:22395863:22396327:tx_tx-GFP_embryonic_1,33,-10.460119500000003,-0.3169733181818183,1.165061538800233,-0.1415036,-11.1399459,4.9337173,1.442382812500001,1.3032739789052599,1.6516145758373932,14,38,1389,-236.4790535686858,-235.9870793828063,-235.62583032129035,0.9839483717590269,0.722498123031869,0.3212259569861506,0.39532570009168577,0.4260394857750254,Neutral model
